Fecha y hora;Departamento;Jurisdicción ;Vehículo;Edad;Sexo;Fallecido a los (Días);Tipo de Siniestro;Otro vehículo;Lugar del Siniestro
01/01/2012 00:00;MONTEVIDEO;DEPARTAMENTAL;PEATON;13;M;1;ATROPELLO DE PEATON;CAMIONETA;CAMINO MALDONADO  esq. CAMPILLOS
01/01/2012 21:25;CANELONES;NACIONAL;AUTO;39;F;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 11 KM. 164
01/01/2012 21:25;CANELONES;NACIONAL;AUTO;33;M;1;COLISION ENTRE VEHICULOS;AUTO;RUTA 11 KM. 164
02/01/2012 17:20;ROCHA;NACIONAL;BICICLETA;45;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 9 KM. 212
03/01/2012 07:30;CANELONES;DEPARTAMENTAL;MOTO;31;M;0;COLISION ENTRE VEHICULOS;OMNIBUS;ELIAS REGULES 
05/01/2012 08:30;MONTEVIDEO;NACIONAL;MOTO;44;M;1;COLISION ENTRE VEHICULOS;MOTO;RUTA CIENTODOS  ESQUINA JOSE BELLONI
05/01/2012 18:20;CANELONES;NACIONAL;PEATON;77;M;1;ATROPELLO DE PEATON;AUTO;RUTA INTERBALNEARIA KM. 44200
05/01/2012 21:45;MALDONADO;DEPARTAMENTAL;AUTO;Sin Dato;M;0;DESPISTE;;CNO. AGROLAND
06/01/2012 10:10;MALDONADO;NACIONAL;AUTO;24;F;1;DESPISTE;-;RUTA 93
06/01/2012 14:00;CANELONES;NACIONAL;PEATON;36;M;9;ATROPELLO DE PEATON;CAMION;RUTA 6 KM. 64
08/01/2012 02:00;CERRO LARGO;NACIONAL;AUTO;37;M;1;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 8 KM 427
10/01/2012 10:45;PAYSANDU;DEPARTAMENTAL;MOTO;24;M;9;COLISION ENTRE VEHICULOS;CAMIONETA;NICOLAS LORENZO Y SEQUEIRA
10/01/2012 16:00;MONTEVIDEO;DEPARTAMENTAL;MOTO;61;M;1;COLISION ENTRE VEHICULOS;MOTO;CAMINO DOMINGO ARENA ELISA A MENENDEZ
11/01/2012 01:10;PAYSANDU;DEPARTAMENTAL;MOTO;19;M;0;CAIDA;-;AV. DE LOS IRACUNDOS Y ANDRESITO
11/01/2012 03:55;FLORES;DEPARTAMENTAL;MOTO;32;M;0;COLISION ENTRE VEHICULOS;CAMION;ANSINA esq. ZELMAR MICHELINI
11/01/2012 12:30;MONTEVIDEO;DEPARTAMENTAL;MOTO;55;M;3;COLISION ENTRE VEHICULOS;CAMION;BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. AVENIDA GENERAL EUGENIO GARZON
13/01/2012 21:50;CANELONES;NACIONAL;MOTO;17;F;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 8  KM 30 FRENTE AL DEVOTO PANDO
13/01/2012 21:50;CANELONES;NACIONAL;MOTO;20;F;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 8  KM 30 FRENTE AL DEVOTO PANDO
13/01/2012 21:50;CANELONES;NACIONAL;MOTO;3;F;1;COLISION ENTRE VEHICULOS;AUTO;RUTA 8  KM 30 FRENTE AL DEVOTO PANDO
13/01/2012 22:00;PAYSANDU;DEPARTAMENTAL;MOTO;43;F;1;COLISION ENTRE VEHICULOS;AUTO;LUIS BATLLE BERRES Y EXODO
14/01/2012 07:55;CANELONES;NACIONAL;CAMIONETA;47;F;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 11 KM. 143100
14/01/2012 13:35;MONTEVIDEO;DEPARTAMENTAL;MOTO;49;M;1;COLISION ENTRE VEHICULOS;CAMION;EMILIO ROMERO Nro. 200 esq. DOCTOR VICENTE BASAGOITY
15/01/2012 15:45;FLORIDA;NACIONAL;AUTO;50;M;1;DESPISTE;-;RUTA 5 KM 163
15/01/2012 15:45;FLORIDA;NACIONAL;AUTO;13;M;1;DESPISTE;-;RUTA 5 KM 163
15/01/2012 18:40;CANELONES;NACIONAL;AUTO;97;F;17;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 36 KM 26.500
15/01/2012 22:30;MALDONADO;DEPARTAMENTAL;MOTO;20;M;1;COLISION ENTRE VEHICULOS;MOTO;SIMON DEL PINO esq. ALBERTO CL CARACARA
16/01/2012 06:30;SALTO;DEPARTAMENTAL;MOTO;18;M;13;COLISION ENTRE VEHICULOS;AUTO;LARRAÑAGA Y RIVERA
17/01/2012 07:35;MONTEVIDEO;DEPARTAMENTAL;PEATON;65;F;0;ATROPELLO DE PEATON;CAMION;BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. CAMINO CORONEL RAIZ
17/01/2012 10:20;MONTEVIDEO;DEPARTAMENTAL;PEATON;79;F;3;ATROPELLO DE PEATON;AUTO;AVENIDA GENERAL FLORES esq. CUFRE
18/01/2012 10:00;MONTEVIDEO;DEPARTAMENTAL;PEATON;69;F;0;ATROPELLO DE PEATON;CAMION;AVENIDA BRASIL esq. LIBERTAD
22/01/2012 03:10;SAN JOSE;NACIONAL;MOTO;26;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 1 KM. 56
23/01/2012 01:00;SAN JOSE;DEPARTAMENTAL;MOTO;19;M;0;COLISION ENTRE VEHICULOS;MOTO;CAMINO DE LA COSTA
23/01/2012 01:00;SAN JOSE;DEPARTAMENTAL;MOTO;32;M;0;COLISION ENTRE VEHICULOS;MOTO;CAMINO DE LA COSTA
23/01/2012 04:45;LAVALLEJA;NACIONAL;MOTO;27;M;18;DESPISTE;-;RUTA 14 KM 277.900
24/01/2012 05:00;RIVERA;NACIONAL;AUTO;49;M;0;DESPISTE;-;SARANDI esq. BRASIL
27/01/2012 02:00;MONTEVIDEO;DEPARTAMENTAL;MOTO;49;F;1;COLISION ENTRE VEHICULOS;MOTO;SAN MARTIN Y LORENZO FERNANDEZ
28/01/2012 06:35;RIVERA;DEPARTAMENTAL;MOTO;26;M;1;COLISION ENTRE VEHICULOS;OMNIBUS;SARANDI esq. BRASIL
28/01/2012 15:10;MONTEVIDEO;DEPARTAMENTAL;MOTO;46;F;1;COLISION ENTRE VEHICULOS;CAMIONETA;BR. BATLLE Y ORDOÑEZ Y NEIRA
28/01/2012 19:20;RIVERA;DEPARTAMENTAL;MOTO;63;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;SARANDI esq. BRASIL
29/01/2012 05:15;FLORES;DEPARTAMENTAL;MOTO;37;M;1;DESPISTE;-;HERRERA Y ANSINA
29/01/2012 13:15;RIO NEGRO;NACIONAL;AUTO;19;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 55
29/01/2012 13:15;RIO NEGRO;NACIONAL;AUTO;34;F;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 55
29/01/2012 13:15;RIO NEGRO;NACIONAL;AUTO;20;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 55
29/01/2012 13:15;RIO NEGRO;NACIONAL;AUTO;54;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 55
29/01/2012 15:00;COLONIA;DEPARTAMENTAL;AUTO;71;F;0;COLISION ENTRE VEHICULOS;AUTO;RAFAEL BARRADAS esq. BLANES VIALE
29/01/2012 17:20;LAVALLEJA;DEPARTAMENTAL;AUTO;62;M;9;DESPISTE;-;RUTA 108 KM. 126
31/01/2012 23:15;MALDONADO;NACIONAL;MOTO;22;M;0;COLISION ENTRE VEHICULOS;MOTO;RUTA10 
31/01/2012 23:15;MALDONADO;NACIONAL;MOTO;20;M;0;COLISION ENTRE VEHICULOS;MOTO;RUTA10 
01/02/2012 04:00;CERRO LARGO;DEPARTAMENTAL;MOTO;40;M;0;CAIDA;-;AV. ESPAÑA Y MALDONADO
01/02/2012 20:45;ROCHA;DEPARTAMENTAL;PEATON;19;M;0;ATROPELLO DE PEATON;AUTO;CAMINO A BARRIOS TORRES FRENTE A CANCHA DE WANDERS 
01/02/2012 20:45;ROCHA;DEPARTAMENTAL;PEATON;15;F;0;ATROPELLO DE PEATON;AUTO;CAMINO A BARRIOS TORRES FRENTE A CANCHA DE WANDERS 
02/02/2012 22:10;MONTEVIDEO;DEPARTAMENTAL;MOTO;31;M;2;COLISION ENTRE VEHICULOS;CAMIONETA;BOULEVARD APARICIO SARAVIA Nro. 5070 esq. AVENIDA BURGUES
03/02/2012 06:45;MONTEVIDEO;DEPARTAMENTAL;MOTO;38;M;1;COLISION ENTRE VEHICULOS;MOTO;GERONIMO PICCIOLI Nro. 2901 esq. JUAN JACOBO ROUSSEAU
04/02/2012 00:45;CANELONES;DEPARTAMENTAL;MOTO;26;M;0;COLISION ENTRE VEHICULOS;CAMION;LAVALLEJA Y A. LEGNANI
04/02/2012 11:00;MALDONADO;DEPARTAMENTAL;BICICLETA;59;M;7;COLISION ENTRE VEHICULOS;ÓMNIBUS;CALLE 10 Y MAREANTES
05/02/2012 00:22;MONTEVIDEO;DEPARTAMENTAL;MOTO;38;M;0;COLISION ENTRE VEHICULOS;MOTO;GERONIMO PICCIOLI Nro. 2901 esq. JUAN JACOBO ROUSSEAU
05/02/2012 06:41;SORIANO;NACIONAL;MOTO;51;M;0;COLISION ENTRE VEHICULOS;AUTO;RUTA 2 KM 263
05/02/2012 07:45;MALDONADO;DEPARTAMENTAL;MOTO;19;M;1;CAIDA;-;Camino cerro eguzquiza
05/02/2012 09:15;ARTIGAS;DEPARTAMENTAL;MOTO;21;M;1;COLISION ENTRE VEHICULOS;CAMION;BATLLE Y ORDOÑEZ Y COUSIN - BBRUM
05/02/2012 18:15;ARTIGAS;NACIONAL;MOTO;47;M;1;DESPISTE;-;CARLOS LECUEDER  esq. AMARO FERREIRA RAMOS
05/02/2012 22:35;TREINTA Y TRES;NACIONAL;BICICLETA;53;M;1;COLISION ENTRE VEHICULOS;CAMION;MANUEL ORIBE Nro. 1439 esq. MANUEL LAVALLEJA
06/02/2012 16:27;CANELONES;DEPARTAMENTAL;MOTO;43;F;4;DESPISTE;-;RUTA 64 KM 48
07/02/2012 13:30;CANELONES;NACIONAL;PEATON;79;M;0;ATROPELLO DE PEATON;AUTO;AVENIDA DE LOS PINOS esq. RUTA INTERBALNEARIA
07/02/2012 20:40;CANELONES;DEPARTAMENTAL;MOTO;22;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;AVENIDA BOLIVIA esq. AVENIDA GENERAL FLORES
07/02/2012 21:27;MALDONADO;DEPARTAMENTAL;MOTO;46;M;0;COLISION ENTRE VEHICULOS;MOTO;AVENIDA ROCHA Y JOAQUIN SUAREZ
08/02/2012 20:35;MONTEVIDEO;DEPARTAMENTAL;MOTO;35;M;0;CAIDA;-;CAMINO MALDONADO esq. RUBEN DARIO --FLOR DE MAROÑAS--
08/02/2012 21:45;MONTEVIDEO;DEPARTAMENTAL;MOTO;62;M;1;COLISION ENTRE VEHICULOS;CARRO;INSTRUCCIONES Y CON. LA ESPIGA
10/02/2012 22:00;CANELONES;NACIONAL;MOTO;19;F;1;COLISION ENTRE VEHICULOS;AUTO;RUTA INTERBALNEARIA  esq. AVENIDA SAN MARTIN
11/02/2012 11:40;MONTEVIDEO;DEPARTAMENTAL;PEATON;70;M;0;ATROPELLO DE PEATON;CAMIONETA;GALICIA Nro. 1099 esq. PARAGUAY
12/02/2012 00:50;CANELONES;NACIONAL;MOTO;20;M;0;COLISION ENTRE VEHICULOS;MOTO;RUTA 6 KM. 67500 
13/02/2012 05:21;MONTEVIDEO;DEPARTAMENTAL;MOTO;37;F;0;COLISION CON OBSTACULO;-;AVENIDA GENERAL RIVERA esq. TOMAS BASAÑEZ
13/02/2012 10:30;MONTEVIDEO;NACIONAL;PEATON;92;F;0;ATROPELLO DE PEATON;CAMION;RUTA ACCESO - AVENIDA DOCTOR CARLOS MARIA RAMIREZ Nro. 2601
13/02/2012 21:30;MALDONADO;DEPARTAMENTAL;PEATON;77;F;4;ATROPELLO DE PEATON;MOTO;AVENIDA GAUCHOS esq. CELEDONIO ROJAS
14/02/2012 13:45;MALDONADO;DEPARTAMENTAL;MOTO;18;M;4;COLISION ENTRE VEHICULOS;CAMIONETA;MARCOS DE LOS REYES esq. CONSTITUCION
14/02/2012 15:45;SAN JOSE;NACIONAL;AUTO;20;F;0;DESPISTE;-;RUTA 3 KM 130,500
14/02/2012 15:45;SAN JOSE;NACIONAL;AUTO;37;M;0;DESPISTE;-;RUTA 3 KM 130,500
16/02/2012 17:10;MALDONADO;DEPARTAMENTAL;MOTO;19;M;4;COLISION ENTRE VEHICULOS;OMNIBUS;LIZARZA
17/02/2012 09:45;ARTIGAS;DEPARTAMENTAL;MOTO;19;M;1;COLISION ENTRE VEHICULOS;CAMION;CARLOS LECUEDER  esq. AMARO FERREIRA RAMOS
17/02/2012 16:30;RIVERA;NACIONAL;BICICLETA;13;M;3;COLISION ENTRE VEHICULOS;CAMIONETA;SARANDI esq. BRASIL
17/02/2012 17:00;CANELONES;DEPARTAMENTAL;MOTO;14;F;0;COLISION ENTRE VEHICULOS;AUTO;ELIAS REGULES esq. ECUADOR
17/02/2012 17:00;CANELONES;DEPARTAMENTAL;MOTO;16;M;0;COLISION ENTRE VEHICULOS;AUTO;ELIAS REGULES esq. ECUADOR
18/02/2012 02:55;SAN JOSE;NACIONAL;PEATON;52;M;0;ATROPELLO DE PEATON;CAMIONETA;RUTA 1 KM 31,500
18/02/2012 12:55;SALTO;DEPARTAMENTAL;BICICLETA;64;M;3;COLISION ENTRE VEHICULOS;MOTO;AV. BARBIERI Y VIERA
19/02/2012 17:45;MONTEVIDEO;DEPARTAMENTAL;PEATON;81;F;1;ATROPELLO DE PEATON;CAMIONETA;JOSE L. TERRA Y CONCEPCION ARENAL
20/02/2012 07:40;ROCHA;NACIONAL;PEATON;16;M;0;ATROPELLO DE PEATON;AUTO;RUTA 10 - BALNEARIO LA PEDRERA
21/02/2012 06:20;SAN JOSE;NACIONAL;MOTO;55;M;0;COLISION ENTRE VEHICULOS;OMNIBUS;RUTA 1 KM. 47
24/02/2012 03:30;CANELONES;DEPARTAMENTAL;MOTO;34;M;0;COLISION ENTRE VEHICULOS;CAMION;SENDA D 
24/02/2012 09:30;RIVERA;DEPARTAMENTAL;AUTO;82;F;0;DESPISTE;-;SARANDI  esq. BRASIL
24/02/2012 15:20;MONTEVIDEO;DEPARTAMENTAL;BICICLETA;29;M;0;COLISION ENTRE VEHICULOS;CAMION;CAMINO BAJO DE LA PETISA  esq. CAMINO BUFFA
25/02/2012 00:28;MONTEVIDEO;DEPARTAMENTAL;MOTO;27;M;1;COLISION ENTRE VEHICULOS;CAMIONETA;EMILIO CASTELAR esq. ROBERTO BERRO
25/02/2012 10:05;COLONIA;DEPARTAMENTAL;BICICLETA;53;M;1;COLISION ENTRE VEHICULOS;MOTO;JOSE SALVO Y RIVERA - LACAZE
25/02/2012 16:35;RIVERA;DEPARTAMENTAL;AUTO;53;M;0;COLISION ENTRE VEHICULOS;AUTO;SARANDI esq. BRASIL
25/02/2012 23:30;SALTO;DEPARTAMENTAL;BICICLETA;20;F;1;COLISION ENTRE VEHICULOS;AUTO;MANUEL ORIBE Y OFICIAL 1
26/02/2012 00:30;CANELONES;DEPARTAMENTAL;MOTO;18;F;1;COLISION ENTRE VEHICULOS;AUTO;AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA PEREZ BUTLER
27/02/2012 06:30;COLONIA;NACIONAL;AUTO;Sin Dato;F;0;DESPISTE;-;RUTA 1 KM 169
29/02/2012 00:45;PAYSANDU;NACIONAL;BICICLETA;47;M;0;COLISION ENTRE VEHICULOS;CAMION;RUTA 3 KM. 378
29/02/2012 04:05;MONTEVIDEO;DEPARTAMENTAL;MOTO;20;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RIVERA INDARTE esq. DOCTOR MARTIN BERINDUAGUE
29/02/2012 22:05;MALDONADO;DEPARTAMENTAL;AUTO;46;F;1;COLISION ENTRE VEHICULOS;CAMIONETA;BOULEVARD ARTIGAS esq. SIN NOMBRE
02/03/2012 19:25;FLORES;NACIONAL;AUTO;58;M;1;COLISION ENTRE VEHICULOS;CAMION;RUTA 3 PUENTE EL JUNCAL
02/03/2012 19:30;SALTO;DEPARTAMENTAL;PEATON;86;M;1;ATROPELLO DE PEATON;MOTO;SOCA Y DIEGO LAMAS
02/03/2012 22:25;MONTEVIDEO;DEPARTAMENTAL;BICICLETA;12;M;0;COLISION ENTRE VEHICULOS;MOTO;AMEGHINO Nro. 5002 esq. SERGIPE
03/03/2012 00:00;SALTO;DEPARTAMENTAL;MOTO;42;M;5;COLISION ENTRE VEHICULOS;MOTO;COSTANERA Y CERVANTES
03/03/2012 08:00;MALDONADO;DEPARTAMENTAL;AUTO;20;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;BOULEVARD ARTIGAS esq. LOUVRE
04/03/2012 06:30;MALDONADO;NACIONAL;MOTO;30;F;0;CAIDA;-;RUTA 93 
04/03/2012 08:15;COLONIA;NACIONAL;MOTO;20;M;0;DESPISTE;-;RUTA 1 KM 144
04/03/2012 22:45;CERRO LARGO;NACIONAL;MOTO;15;M;0;COLISION ENTRE VEHICULOS;MOTO;RUTA 26 KM 383
04/03/2012 22:45;CERRO LARGO;NACIONAL;MOTO;19;M;1;COLISION ENTRE VEHICULOS;MOTO;RUTA 26 KM 383
07/03/2012 01:05;MONTEVIDEO;DEPARTAMENTAL;AUTO;37;M;0;DESPISTE;-;AVENIDA GENERAL SAN MARTIN esq. AVENIDA GUSTAVO VOLPE
07/03/2012 07:50;MONTEVIDEO;DEPARTAMENTAL;MOTO;27;M;1;COLISION ENTRE VEHICULOS;AUTO;BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. NEIRA
07/03/2012 11:05;MONTEVIDEO;DEPARTAMENTAL;PEATON;71;F;27;ATROPELLO DE PEATON;MOTO;AVENIDA DAMASO ANTONIO LARRAÑAGA esq. SEBASTIAN ELCANO
07/03/2012 13:00;SAN JOSE;NACIONAL;MOTO;19;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 1 KM 78 
07/03/2012 15:15;MALDONADO;DEPARTAMENTAL;MOTO;64;M;0;CAIDA;-;APARICIO SARAVIA Y PEDRAGOSA SIERRA
07/03/2012 23:00;MONTEVIDEO;DEPARTAMENTAL;MOTO;25;M;0;COLISION ENTRE VEHICULOS;MOTO;AVENIDA DOMINGO SARMIENTO Nro. 2652 esq. FRANCISCO AGUILAR
09/03/2012 00:30;DURAZNO;NACIONAL;MOTO;18;F;0;COLISION CON OBSTACULO;-;RUTA 5 KM. 186
09/03/2012 05:05;TREINTA Y TRES;DEPARTAMENTAL;MOTO;51;M;0;CAIDA;-;BOULEVARD FRUCTUOSO DEL PUERTO esq. TENIENTES DE ARTIGAS
10/03/2012 10:00;SALTO;DEPARTAMENTAL;PEATON;78;F;0;ATROPELLO DE PEATON;CAMIONETA;ARTIGAS esq. VEINTICINCO DE AGOSTO
10/03/2012 13:40;CERRO LARGO;NACIONAL;MOTO;71;M;28;COLISION ENTRE VEHICULOS;MOTO;AV. ITALIA Y LAS TROPAS
10/03/2012 13:40;CERRO LARGO;NACIONAL;MOTO;Sin Dato;F;5;COLISION ENTRE VEHICULOS;MOTO;AV. ITALIA Y LAS TROPAS
10/03/2012 23:00;RIVERA;DEPARTAMENTAL;MOTO;21;M;7;COLISION ENTRE VEHICULOS;AUTO;APARICIO SARAVIA Y FCO. ROMERO
10/03/2012 23:55;CANELONES;DEPARTAMENTAL;PEATON;23;F;0;ATROPELLO DE PEATON;AUTO;AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA AMELIA RAMIREZ DE GARCIA LAGOS
11/03/2012 00:50;SALTO;NACIONAL;MOTO;16;M;0;DESPISTE;-;RUTA 4 KM 113 Y 114 RUMBO A PUEBLO SEQUEIRA
11/03/2012 06:50;COLONIA;DEPARTAMENTAL;MOTO;28;M;0;CAIDA;-;AVENIDA COSTANERA esq. GENERAL RIVERA
12/03/2012 18:50;PAYSANDU;NACIONAL;CAMIONETA;77;M;11;DESPISTE;;RUTA 90 KM. 15
13/03/2012 04:30;PAYSANDU;NACIONAL;MOTO;39;M;0;CAIDA;-;RUTA 26 KM. 68 
13/03/2012 08:26;SORIANO;DEPARTAMENTAL;CAMIONETA;34;M;0;DESPISTE;-;RUTA 96 KM 30
